symptoms,disease,precautions,medicines
"fever,cough,sore throat,body ache,fatigue,chills","Common Flu (Influenza)","Rest and stay hydrated;Take over-the-counter flu medication;Avoid close contact with others;Cover your mouth when coughing;Consult a doctor if symptoms persist beyond 7 days","Paracetamol;Ibuprofen;Cetirizine;Dextromethorphan;Vitamin C"
"fever,cough,sore throat,headache,runny nose,chills","Common Flu (Influenza)","Rest and stay hydrated;Take over-the-counter flu medication;Avoid close contact with others;Cover your mouth when coughing;Consult a doctor if symptoms persist beyond 7 days","Paracetamol;Ibuprofen;Cetirizine;Dextromethorphan;Vitamin C"
"fever,cough,body ache,fatigue,headache","Common Flu (Influenza)","Rest and stay hydrated;Take over-the-counter flu medication;Avoid close contact with others;Cover your mouth when coughing;Consult a doctor if symptoms persist beyond 7 days","Paracetamol;Ibuprofen;Cetirizine;Dextromethorphan;Vitamin C"
"fever,cough,chills,fatigue","Common Flu (Influenza)","Rest and stay hydrated;Take over-the-counter flu medication;Avoid close contact with others;Cover your mouth when coughing;Consult a doctor if symptoms persist beyond 7 days","Paracetamol;Ibuprofen;Cetirizine;Dextromethorphan;Vitamin C"
"fever,sore throat,body ache,headache","Common Flu (Influenza)","Rest and stay hydrated;Take over-the-counter flu medication;Avoid close contact with others;Cover your mouth when coughing;Consult a doctor if symptoms persist beyond 7 days","Paracetamol;Ibuprofen;Cetirizine;Dextromethorphan;Vitamin C"
"cough,fatigue,chills,runny nose","Common Flu (Influenza)","Rest and stay hydrated;Take over-the-counter flu medication;Avoid close contact with others;Cover your mouth when coughing;Consult a doctor if symptoms persist beyond 7 days","Paracetamol;Ibuprofen;Cetirizine;Dextromethorphan;Vitamin C"
"runny nose,sneezing,sore throat,mild cough,congestion","Common Cold","Get plenty of rest;Drink warm fluids;Use saline nasal drops;Gargle with warm salt water;Wash hands frequently","Antihistamines;Nasal decongestant;Cough syrup;Throat lozenges;Saline spray"
"runny nose,sneezing,congestion,watery eyes,mild cough","Common Cold","Get plenty of rest;Drink warm fluids;Use saline nasal drops;Gargle with warm salt water;Wash hands frequently","Antihistamines;Nasal decongestant;Cough syrup;Throat lozenges;Saline spray"
"sneezing,sore throat,congestion,runny nose,watery eyes","Common Cold","Get plenty of rest;Drink warm fluids;Use saline nasal drops;Gargle with warm salt water;Wash hands frequently","Antihistamines;Nasal decongestant;Cough syrup;Throat lozenges;Saline spray"
"sneezing,runny nose,congestion","Common Cold","Get plenty of rest;Drink warm fluids;Use saline nasal drops;Gargle with warm salt water;Wash hands frequently","Antihistamines;Nasal decongestant;Cough syrup;Throat lozenges;Saline spray"
"sore throat,runny nose,mild cough,sneezing","Common Cold","Get plenty of rest;Drink warm fluids;Use saline nasal drops;Gargle with warm salt water;Wash hands frequently","Antihistamines;Nasal decongestant;Cough syrup;Throat lozenges;Saline spray"
"congestion,watery eyes,sneezing,sore throat","Common Cold","Get plenty of rest;Drink warm fluids;Use saline nasal drops;Gargle with warm salt water;Wash hands frequently","Antihistamines;Nasal decongestant;Cough syrup;Throat lozenges;Saline spray"
